Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2014,116.3771341,2014,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2014,116.6020807,2014,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2014,116.8591248,2014,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2014,117.1509404,2014,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2014,118.6129463,2014,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2014,120.6703155,2014,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2014,120.9060406,2014,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2015,120.9637547,2015,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2015,121.3496734,2015,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2015,122.0218647,2015,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2015,120.8657811,2015,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2015,119.0011139,2015,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2015,119.0634033,2015,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2015,118.9501494,2015,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2015,119.2804737,2015,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2015,119.576282,2015,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2015,120.8234427,2015,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2015,122.1518727,2015,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2015,122.1323552,2015,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2016,122.2560055,2016,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2016,122.6463435,2016,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2016,122.6998438,2016,3,March,1,Canasta Básica
